Zone,Price,Years,Rooms,Area,NumberOfElevators,floor,direction
  میرداماد ,9225,0,2,123,1,2,
  خیابان دولت ,8400,19,3,150,1,5,
  زعفرانیه ,16920,22,3,188,0,,
  سعدی رشت ,1344,0,2,84,1,2,
  سعدی رشت ,2800,1,3,233,1,4,
  اختیاریه ,6375,0,2,85,1,3,
  خیابان دولت ,4300,19,3,107,1,1,
  دیباجی ,10500,11,3,150,1,1,
  زعفرانیه ,32400,0,3,270,0,5,
  اختیاریه ,6375,0,2,85,1,3,
  میرداماد ,5250,0,1,70,1,1,
  هروی ,40,0,2,100,1,1,
  اختیاریه ,8160,5,2,120,1,1,
  مهران ,5400,20,2,107,1,5,
  دیباجی ,7,1,2,95,1,3,
  اختیاریه ,7250,12,3,170,1,3,
  اختیاریه ,4300,13,1,75,1,4,
  قلهک ,7,2,2,117,1,4,
  میرداماد ,17750,0,3,200,1,4,
  دیباجی ,7500,13,3,140,1,4,
  فاز ۳ نوبنیاد ,,2,2,74,1,,
  هروی ,5,15,2,108,1,3,
  هروی ,7200,3,2,120,1,4,
  هروی ,7200,7,2,110,1,2,
  شهرک میرمهنا ,,2,2,74,1,,
  اختیاریه ,"1,80",5,3,180,1,1,
  قلهک ,6800,15,3,135,1,1,
  ظفر ,3350,24,2,70,1,1,
  ظفر ,6300,1,2,105,1,7,
  ظفر ,6300,0,2,110,1,7,
  ظفر ,7280,8,2,112,1,2,
  دیباجی ,3200,9,2,61,1,3,
  فرمانیه ,50,0,4,500,2,8,شمالی
  هروی ,5145,7,2,105,1,1,
  دبستان ,4800,2,2,115,1,2,
  میرداماد ,17750,0,3,200,1,2,
  قیطریه ,6430,5,2,110,1,2,
  تهرانپارس شرقی ,4600,0,2,112,1,3,شمالی
  میرداماد ,5700,14,3,120,1,2,
  اختیاریه ,16,12,3,158,1,3,
  تهرانپارس غربی ,4800,15,3,126,1,3,شمالی
  دیباجی ,3200,9,2,61,1,3,
  میرداماد ,5720,14,2,110,1,6,
  قیطریه ,28200,0,3,235,1,5,
  میرداماد ,,1,3,185,1,3,
  شهرک صدف ,,5,3,150,1,,
  سعدی رشت ,700,15,2,72,1,4,
  میرداماد ,10800,0,2,120,1,3,
  کامرانیه شمالی ,35,0,3,270,2,2,شرقی، جنوبی
  ظفر ,7,0,2,93,1,5,
  میرداماد ,12600,0,3,188,1,3,
  مهران ,6400,1,2,110,1,4,
  هروی ,7540,0,2,116,1,6,
  جلفا تهران ,8,0,3,125,1,2,
  آجودانیه ,22,0,3,220,1,4,
  هروی ,4900,16,2,99,0,5,
  شمس آباد ,4200,0,2,115,1,4,
  مهران ,5,0,2,95,1,4,
  ظفر ,7900,8,3,130,1,1,
  دیباجی ,5150,0,1,67,1,2,
  ظفر ,2950,0,2,70,1,4,
  سعدی رشت ,1395,0,2,90,1,1,
  سعدی رشت ,1550,0,2,100,1,2,
  ظفر ,7119,3,3,113,1,1,
  ظفر ,5400,1,2,90,1,5,
  قیطریه ,12600,0,3,130,1,4,
  اختیاریه ,682,0,2,110,1,5,
  اختیاریه ,5800,19,2,125,1,4,
  اختیاریه ,4300,19,3,107,1,1,
  لواسانی ,16,15,4,230,1,3,جنوبی
  ظفر ,6270,0,2,110,1,7,
  تهرانپارس غربی ,3150,10,2,92,1,4,جنوبی
  میرداماد ,12800,0,3,160,1,3,
  نیاوران ,16800,5,3,210,1,3,
  تهرانپارس غربی ,3200,10,2,92,1,4,جنوبی
  قیطریه ,9600,0,3,160,1,4,
  اختیاریه ,4300,16,2,74,1,4,
  فلکه اول تهرانپارس ,4200,7,2,120,1,2,جنوبی
  میرداماد ,10,0,3,133,1,6,
  میرداماد ,7200,27,2,117,1,2,
  هروی ,3800,0,3,120,1,3,
  قیطریه ,7450,15,3,120,1,1,
  پاسداران ,11,20,4,200,1,2,
  اختیاریه ,5200,19,2,88,1,1,
  میرداماد ,17850,0,3,210,1,2,
  میرداماد ,6,13,2,120,1,1,
  قیطریه ,11800,0,3,149,1,2,
  قیطریه ,9120,3,2,125,1,5,
  قیطریه ,13330,0,3,150,1,5,
  قیطریه ,5700,6,2,92,1,5,
  قیطریه ,10700,0,3,122,1,2,
  اختیاریه ,5900,11,2,90,1,2,
  قیطریه ,12880,0,3,130,1,5,
  قیطریه ,19623,0,3,215,1,5,
  اختیاریه ,4345,7,2,85,1,4,
  گلسار ,55,3,1,64,1,2,
  هروی ,7154,18,3,146,1,5,
  گلسار ,2140,12,2,100,1,3,
  گلسار ,970,0,2,104,1,3,
  سعدی رشت ,5,1,3,168,1,2,
  گلسار ,970,0,2,104,1,3,
  سعدی رشت ,5,1,3,168,1,2,
  جردن ,64,30,5,400,1,1,
  سعدی رشت ,900,12,2,83,1,3,
  قبا ,7564,15,3,122,1,5,
  هروی ,2772,12,2,77,1,1,
  ونک ,5300,15,2,95,1,3,
  قیطریه ,6890,18,3,130,1,5,
  گلسار ,2500,1,2,127,1,4,
  قیطریه ,8500,0,2,120,1,3,
  پاسداران ,13175,0,3,155,1,4,
  ظفر ,5985,1,2,105,1,7,
  ظفر ,2950,0,2,70,1,4,
  هروی ,6290,14,3,143,1,1,
  خیابان دولت ,10,30,3,177,1,3,
  جلفا تهران ,4800,15,3,98,1,2,
  قیطریه ,4500,14,2,105,1,2,
  قلهک ,6700,15,2,124,1,4,
  میرداماد ,8700,19,3,150,1,5,
  ظفر ,6350,0,2,110,1,7,
  قیطریه ,3948,30,2,94,1,3,
  ظفر ,11250,1,3,150,1,2,
  قیطریه ,6500,13,2,103,1,5,
  نخجوان ,27,2,4,270,1,4,جنوبی
 ,26,0,0,130,0,0,
  میرداماد ,5250,1,1,70,1,1,
  میرداماد ,12800,0,3,160,1,3,
  پاسداران ,7200,10,3,120,1,5,
  قیطریه ,19412,0,3,211,1,5,
  نیاوران ,25800,1,3,215,1,6,
  قبا ,6400,32,3,133,1,9,
  فرمانیه ,8500,0,2,100,1,3,
  قیطریه ,12865900,2,3,155,1,5,
  قلهک ,8890,0,2,127,1,2,
  اختیاریه ,7,0,2,100,1,3,
  ظفر ,6300,0,2,110,1,7,
  قیطریه ,12800,0,3,130,1,5,
  ظفر ,6900,0,2,110,1,5,
  دیباجی ,5800,17,2,125,1,4,
  ظفر ,2100,19,1,50,1,4,
  میرداماد ,6500,30,2,125,1,1,
  ظفر ,2950,0,2,70,1,4,
  میرداماد ,6850,25,3,125,1,5,
  اختیاریه ,6820,0,2,110,1,5,
  ظفر ,15300,0,3,225,1,2,
  میرداماد ,9970,0,2,133,1,2,
  میرداماد ,10960,1,3,140,1,4,
  میرداماد ,7150,14,3,130,1,1,
  پاسداران ,7560,7,2,108,1,2,
  قیطریه ,6700,5,2,85,1,4,
  میرداماد ,11571,0,3,133,1,6,
  ظفر ,5900,30,3,130,1,2,
  میرداماد ,15,0,3,148,1,5,
  میرداماد ,7500,15,3,140,1,1,
  میرداماد ,9450,1,3,135,1,3,
  جلفا تهران ,3500,40,2,56,1,4,
  فرمانیه ,8400,6,2,120,1,4,
  میرداماد ,5200,1,1,70,1,1,
  میرداماد ,17750,0,3,200,1,2,
  دیباجی ,"7,80",16,3,120,1,1,
  میرداماد ,5460,14,2,110,1,4,
  هروی ,5,2,2,85,1,7,
  جلفا تهران ,4730,5,2,86,1,3,
  اختیاریه ,4300,19,2,107,1,1,
  ظفر ,6300,0,2,110,1,7,
  دیباجی ,5180,25,2,108,1,3,
  مهران ,3555,8,2,79,1,1,
"
            ",5500,30,2,100,1,3,
  ونک ,5500,1,1,71,1,1,
  میرداماد ,17850,0,3,210,1,2,
  جردن ,6440,10,2,115,1,5,
  ظفر ,11250,1,3,150,1,2,
  ظفر ,5775,1,2,105,1,7,
  الهیه ,11,19,3,170,1,1,
  ظفر ,2950,0,2,70,1,4,
  ظفر ,5600,1,2,80,1,4,
  اختیاریه ,16,0,3,195,1,4,
  ونک ,5600,2,2,90,1,2,
  ظفر ,12950,1,3,185,1,3,
  جردن ,8550,12,2,95,1,13,
  اختیاریه ,12,24,3,150,1,1,
" نبرد شمالی
            ",1950,11,2,73,1,2,جنوبی
  اختیاریه ,12,13,3,185,1,1,
  فرمانیه ,21,1,3,185,2,,
  قیطریه ,13450,8,3,155,1,3,
  اقدسیه ,13950,2,3,155,2,2,شمالی
  سعدی رشت ,800,18,2,100,1,4,
  قیطریه ,12400,2,3,155,1,5,جنوبی
  فرمانیه ,5100,3,2,100,1,4,
  قیطریه ,12800,0,3,129,1,4,
  دروس ,"11,25",0,3,147,1,3,
  سعدی رشت ,1700,1,2,90,1,3,
  ونک ,6566,14,2,101,1,5,
  خیابان دولت ,11250,0,3,150,1,3,
  ظفر ,6300,0,2,110,1,2,
  ظفر ,5325,13,1,70,1,2,
  ظفر ,7350,0,2,100,1,5,
  پاسداران ,7800,8,2,120,1,3,
  پاسداران ,7,0,2,100,1,3,
  قیطریه ,12710,2,3,155,1,3,
  پاسداران ,4,10,2,80,1,4,
  قیطریه ,6300,0,2,102,1,3,
  ظفر ,5985,1,2,105,1,7,
  تیرانداز ,4,25,3,127,0,2,شمالی، غربی
  پاسداران ,8,8,2,125,1,4,
  دیباجی ,8100,0,2,115,1,5,
  تهرانپارس غربی ,3250,10,2,92,1,4,جنوبی
  ظفر ,9970,15,4,240,1,5,
  تیرانداز ,7500,25,2,124,0,1,جنوبی
  میرداماد ,12700,0,3,185,1,3,
  قیطریه ,12600,0,3,130,1,4,
  شهرک صدف ,3500,1,1,70,2,,شمالی، شرقی
  ظفر ,7800,0,2,104,1,1,
  میرداماد ,6,15,2,96,1,5,
  ظفر ,5600,1,2,80,1,4,
  خیابان دولت ,6820,0,2,110,1,5,
  قیطریه ,8400,7,3,124,1,1,
" اقدسیه
            ",20280,0,2,156,1,2,شمالی
  میرداماد ,11550,17,3,210,1,5,
  میرداماد ,12950,1,3,185,1,3,
 ,"10,64",16,3,148,1,1,
  میرداماد ,12950,1,3,185,1,3,
  فرمانیه ,19200,8,4,240,1,1,
  میرداماد ,9225,0,2,123,1,2,
  میرداماد ,10965,12,3,170,1,4,
  شمس آباد ,4700,2,2,100,1,2,
  پاسداران ,7800,8,3,130,1,3,
  فرمانیه ,10200,7,3,143,1,4,
  فرمانیه ,6400,5,2,90,1,1,
  دیباجی ,5150,0,1,67,1,2,
  ظفر ,6300,0,2,100,1,7,
  فرمانیه ,8400,6,2,120,1,4,
  هروی ,4600,13,3,96,1,4,
  میرداماد ,11370,1,3,140,1,6,
  هروی ,4600,13,3,96,1,4,
  خیابان دولت ,3200,9,2,61,1,3,
  میرداماد ,18,0,3,200,1,4,
  میرداماد ,8800,17,3,153,1,4,
  شهرک میرمهنا ,,5,1,63,1,,
" بوکان
            ",20265,4,3,193,1,2,جنوبی
  زعفرانیه ,16200,0,3,180,0,2,
  قیطریه ,8680,6,2,124,1,1,
  ظفر ,5325,13,1,70,1,2,
  فرمانیه ,6600,8,2,107,1,5,
  قیطریه ,8500,3,2,114,1,4,
  قیطریه ,19700,10,5,275,1,2,
  ظفر ,5900,30,3,131,1,2,
  میرداماد ,12,18,3,210,1,5,
  برج سایه ,,4,2,100,1,,
" نیاوران
            ",19200,0,3,160,1,3,
  گلسار ,1350,12,2,76,1,3,
  گلسار ,1350,12,2,76,1,3,
  فرمانیه ,17100,2,3,190,1,9,
  دروس ,10290,1,3,147,1,3,
  دروس ,5300,17,2,80,1,4,
  پاسداران ,7700,0,3,150,1,4,
  زعفرانیه ,21375,0,3,225,0,8,
  خیابان دولت ,"5,25",0,1,67,1,3,
  هروی ,4600,10,2,100,1,3,
  ولنجک ,16650,9,3,185,0,2,
  قیطریه ,12600,0,3,130,1,1,
  خیابان دولت ,5700,1,2,100,1,5,
  میرداماد ,8500,2,3,128,1,5,
  میرداماد ,8320,2,3,96,1,5,
  اقدسیه ,14800,0,2,148,1,3,شمالی
  فرمانیه ,8400,3,2,120,1,4,شمالی
  قلهک ,6800,15,3,135,1,1,
  فرمانیه ,6700,10,2,100,1,4,
  از برج یاسر ,68,1,4,418,2,9,دارد
  منظریه ,1120,4,2,83,1,2,
  گلسار ,885,11,2,63,1,1,
  فرمانیه ,17100,2,3,190,1,9,
  گلسار ,695,4,2,75,1,1,
  دروس ,10900,18,3,160,1,1,
  سعدی رشت ,680,12,2,67,1,2,
  دروس ,23,1,3,243,1,3,
  قیطریه ,13200,2,3,150,1,2,
  منظریه ,2,9,2,111,1,1,
  قیطریه ,16200,0,3,210,1,1,
  گلسار ,1900,0,2,95,1,2,
  منظریه ,1280,30,2,95,1,1,
  سعدی رشت ,3200,11,3,175,1,2,
  میرداماد ,5250,0,1,70,1,2,
  گلسار ,2160,0,2,108,1,4,
  سعدی رشت ,950,14,2,84,1,3,
  ظفر ,7350,0,2,100,1,5,
  جردن ,5200,0,2,80,1,5,
" نبرد شمالی
            ",750,14,1,40,0,2,شمالی
  سعدی رشت ,950,14,2,84,1,3,
  خیابان دولت ,12,25,3,170,1,2,
  قیطریه ,9920,0,3,160,1,3,
" نبرد شمالی
            ",990,5,1,37,0,1,شمالی
" خیابان چهارم نیروی هوایی
            ",3500,15,2,103,1,4,جنوبی
  ظفر ,6,1,2,110,1,7,
  میرداماد ,4500,13,2,100,1,1,
  سعدی رشت ,1120,14,2,80,1,1,
  گلسار ,1942,0,2,105,1,2,
  سعدی رشت ,820,10,2,75,1,4,
  قیطریه ,4340,24,2,110,1,3,
  میرداماد ,5720,12,2,110,1,6,
  ظفر ,3250,24,2,70,1,1,
  هروی ,9900,18,3,156,1,5,
  فرمانیه ,12500,4,3,145,1,4,
  دیباجی ,4300,19,3,107,1,1,
  اختیاریه ,5,15,2,90,1,4,
  فرمانیه ,80,30,6,670,-,-,
  نیاوران ,147,25,8,820,دارد,دارد,2
  الهیه ,11,17,3,170,1,1,
  قیطریه ,4200,0,1,70,1,1,
  دیباجی ,3200,9,2,61,1,3,
  پاسداران ,6800,12,2,85,1,3,
  قیطریه ,6400,10,2,110,0,1,
  میرداماد ,26250,1,4,350,1,4,
  ظفر ,"6,50",0,2,110,1,5,
  میرداماد ,11571,1,3,133,1,6,
  شهرک صدف ,10600,1399,3,193,2,10,-
  ونک ,7500,7,2,101,1,5,
  پاسداران ,13,20,4,200,1,1,
  میرداماد ,3960,15,2,70,1,1,
  شهرک میرمهنا ,,5,2,92,1,3,
  میرداماد ,10,1,3,133,1,6,
  جردن ,6975,0,2,93,1,3,
  پاسداران ,10395,4,3,135,1,1,
  هروی ,5140,9,2,105,1,2,
  خیابان دولت ,4280,21,3,107,1,1,
  دیباجی ,"12,70",28,3,170,1,2,
  اختیاریه ,9670,30,3,186,1,0,
  قیطریه ,6600,13,90,90,1,3,
  ظفر ,7700,0,3,113,1,2,
  ظفر ,"8,60",0,3,130,1,1,
  اختیاریه ,5800,3,2,96,1,1,
  شمس آباد ,"6,76",14,3,124,1,3,
  نیاوران ,10500,11,3,150,1,2,شمالی
  هروی ,7500,22,3,150,1,3,
  خیابان دولت ,6438,8,2,111,1,5,
  نیاوران ,7350,5,2,133,1,3,شمالی
  خیابان دولت ,"8,40",5,2,120,1,1,
  ونک ,6800,2,2,85,1,4,
  پاسداران ,5700,14,2,100,1,2,
  جردن ,13624,19,4,262,1,6,
  اقدسیه ,9775,2,2,115,1,2,شمالی، جنوبی
  تهرانپارس غربی ,4800,15,3,124,1,3,شمالی
  میرداماد ,8750,2,2,125,1,1,
  میرداماد ,7160,15,2,127,1,2,
  قیطریه ,12740,0,3,130,1,5,
  هروی ,"9,85",0,3,160,1,0,
  نیاوران ,6460,14,2,95,1,1,شمالی، جنوبی
  جردن ,6120,30,2,102,1,4,
  قلهک ,10,1,2,100,1,3,
  اندرزگو ,13,1,3,150,1,2,شمالی
  قیطریه ,6300,3,3,143,1,1,
  تهرانپارس غربی ,9200,10,4,230,1,1,جنوبی
  تهرانپارس غربی ,3200,10,2,92,1,4,جنوبی
  ظفر ,14,1,3,200,1,3,
  تهرانپارس شرقی ,1250,18,1,52,0,3,شمالی
  خیابان دولت ,8700,0,2,120,1,2,
  ظفر ,4200,1,1,60,1,5,
  بهار ,6400,5,3,145,1,1,شمالی، جنوبی
  فازـ7 ,,1,2,90,2,,
  فرمانیه ,37500,0,3,250,1,5,
  میرداماد ,8500,12,3,150,1,5,
  هروی ,9750,0,2,160,1,2,
  قیطریه ,19800,9,5,275,1,2,
  دروس ,10800,6,3,180,1,1,
  میرداماد ,10880,12,3,170,1,4,
  فرمانیه ,16900,7,3,260,1,3,
  قلهک ,6800,15,3,135,1,1,
  اختیاریه ,6300,4,2,99,1,5,
  قیطریه ,7560,15,3,120,1,3,
  پاسداران ,10700,0,3,137,1,5,
  میرداماد ,9100,2,3,130,1,1,
"  اداری برج مونا
            ",,8,2,112,1,5,
  فرمانیه ,12500,10,3,160,1,6,
  فرمانیه ,88,1,4,440,2,9,-
  میرداماد ,12800,1,3,160,1,3,
  نیاوران ,18,12,190,190,1,11,
  میرداماد ,12,18,3,210,1,5,
  هروی ,"4,50",19,2,88,1,5,
  هروی ,5250,18,2,110,1,1,
  ظفر ,"8,60",0,3,130,1,1,
  قیطریه ,9900,5,2,110,1,5,
  کامرانیه شمالی ,65,1,4,430,1,5,جنوبی
  ظفر ,5900,30,3,131,1,2,
  نیاوران ,18,12,3,190,1,11,
  درختی ,7450,3,3,130,2,1,جنوبی
  قیطریه ,7700,0,2,100,1,5,
  درختی ,7500,3,3,125,1,2,شمالی
  ولنجک ,19550,5,3,170,0,7,
  میرداماد ,11550,0,3,135,1,6,
  خیابان دولت ,6900,6,2,110,1,4,
  گلسار ,650,17,2,63,1,1,
  قیطریه ,11800,0,3,149,1,3,
  جردن ,7430,8,2,120,1,4,
  گلسار ,2340,0,2,180,1,3,
  سعدی رشت ,850,14,2,85,1,2,
  فرمانیه ,43760,5,4,315,1,,
  جردن ,7470,10,2,115,1,3,
  ظفر ,2950,0,2,68,1,4,
  میرداماد ,13200,0,3,150,1,5,
  قیطریه ,9130,0,2,130,1,4,
  قیطریه ,6600,10,2,90,1,4,
  هروی ,7722,5,2,117,1,6,
  جردن ,11320,0,2,135,1,5,
  پاسداران ,6400,5,2,95,1,6,
  نیاوران ,16800,5,3,210,1,1,
  هروی ,8568,1,2,125,1,1,
  هروی ,8568,41,2,125,1,1,
  هروی ,9300,1,3,155,1,6,
  زعفرانیه ,22800,0,3,190,0,,
  ظفر ,2200,15,1,50,1,3,
  میرداماد ,9200,0,2,123,1,2,
  ظفر ,10800,0,3,150,1,5,
  زعفرانیه ,33150,1,3,255,0,8,
  هروی ,11800,17,3,182,1,1,
  میرداماد ,12700,0,3,185,1,3,
  میرداماد ,8350,2,3,130,1,5,
  ظفر ,10360,0,3,148,1,3,
  ظفر ,7350,0,2,100,1,1,
  هروی ,6300,8,2,105,1,3,
  میرداماد ,12700,0,3,185,1,3,
  هروی ,6300,8,2,105,1,3,
  از برج ولنجک ,30550,1,3,235,0,9,-
  میرداماد ,6500,5,2,96,1,3,
  فرشته ,22500,2,3,180,0,3,
  فرشته ,28600,0,3,260,0,2,
  دیباجی ,3200,9,2,61,1,3,
  پاسداران ,9300,6,3,150,1,2,
  قیطریه ,12200,0,3,150,1,2,
" پرستار جنوبی
            ",1400,2,1,45,1,4,شمالی
  هروی ,5,2,3,110,1,1,
  نیاوران ,16,5,3,210,1,3,
  ظفر ,8800,3,2,115,1,6,
  قیطریه ,10,1,2,140,1,6,
  میرداماد ,8500,30,3,170,1,2,
  جردن ,10200,0,2,120,1,2,
  دبستان ,5500,4,3,136,1,5,
  ظفر ,4200,1,1,60,1,5,
  ظفر ,3600,13,2,90,1,1,
  ظفر ,3150,10,2,65,1,3,
  فرمانیه ,10750,4,2,125,1,1,
  پاسداران ,10,1,2,125,1,2,
  ظفر ,6,1,2,110,1,7,
  ظفر ,6270,0,2,110,1,1,
  میرداماد ,7700,15,3,140,1,3,
  قیطریه ,6600,6,3,132,1,1,
  قیطریه ,11900,0,3,137,1,4,
  پاسداران ,9840,0,2,120,1,2,
  هروی ,3200,16,1,64,1,1,
  قیطریه ,13500,3,3,155,1,2,
  دروس ,12,1,2,120,1,3,
  الهیه ,10900,17,3,170,1,1,
  هروی ,4400,16,2,88,1,2,
  خیابان دولت ,9300,15,3,156,1,4,
  قیطریه ,4800,20,2,90,1,2,
  جلفا تهران ,5117,20,3,119,1,3,
  دروس ,6800,6,2,117,1,4,
  خیابان دولت ,3200,9,2,62,1,3,
  تهرانپارس غربی ,7200,0,33,153,1,5,شمالی
  فلکه اول تهرانپارس ,9100,10,4,230,1,3,جنوبی
  فرمانیه ,22500,19,4,234,1,1,
  ظفر ,6400,4,2,115,1,4,
  میرداماد ,6900,2,2,110,1,1,
  فلکه اول تهرانپارس ,38750,12,15,775,1,2,شرقی، جنوبی
  پاسداران ,5800,14,2,100,1,2,
  ظفر ,"6,50",0,2,110,1,7,
  خیابان دولت ,10,30,3,187,1,3,
  ظفر ,4800,2,2,70,1,1,
  حسین آباد ,4592,18,2,113,1,3,
  زعفرانیه ,27500,0,3,250,0,,
  جلفا تهران ,4256,22,3,112,1,3,
  نیاوران ,9500,15,3,146,1,3,جنوبی
  شریعتی ,10800,0,3,150,1,5,
  گلسار ,700,1,2,100,1,3,
  میرداماد ,9225,0,2,123,1,2,
  ظفر ,10,0,3,145,1,3,
  میرداماد ,7623,0,2,99,1,1,
  الهیه ,10858,3,2,122,0,3,
  جردن ,13542,8,3,183,1,1,
  تهرانپارس غربی ,3200,10,2,92,1,4,جنوبی
  ظفر ,2150,18,1,50,1,3,
  هروی ,6900,8,3,115,1,3,
  ونک ,5800,15,2,95,1,2,
  میرداماد ,18,0,3,200,1,4,
  ظفر ,11250,1,3,150,1,2,
  خیابان دولت ,2999,20,1,64,1,3,
  منظریه ,812,12,2,65,1,3,
  سعدی رشت ,697500,11,2,78,1,3,
  پاسداران ,7200,0,3,120,1,2,
  منظریه ,2560,2,3,128,1,5,
" خیابان پنجم نیروی هوایی
            ",3250,12,2,99,1,3,شمالی
  گلسار ,2900,1,3,133,1,4,
  فرمانیه ,8450,0,2,97,1,5,
  قیطریه ,4900,31,2,85,1,2,
  قیطریه ,4799,25,2,91,1,3,
  زعفرانیه ,17600,0,3,160,0,3,
  خیابان دولت ,"5,25",0,1,67,1,2,
  محمودیه ,21600,0,3,180,0,7,
  پاسداران ,7200,0,3,120,1,2,
" مقداد
            ",2450,17,2,98,1,3,شمالی
  میرداماد ,18,0,3,200,1,4,
  ظفر ,7350,0,2,101,1,5,
  اختیاریه ,6820,0,2,110,1,5,
  میرداماد ,26250,1,4,350,1,4,
  خیابان دولت ,320,9,2,61,1,3,
  میرداماد ,8990,11,3,150,1,5,
  الهیه ,11200,17,3,170,1,1,
  میرداماد ,12950,1,3,185,1,3,
  زعفرانیه ,22860,22,3,254,0,,
  اختیاریه ,7,29,3,144,1,2,
  خیابان دولت ,4675,25,2,82,1,4,
  جردن ,11700,30,3,156,1,2,
  ظفر ,2800,4,2,63,1,4,
  جلفا تهران ,5130,13,2,114,1,5,
  ظفر ,9,0,3,130,1,7,
  هروی ,3300,1,2,90,1,1,
  قیطریه ,7170,9,2,78,1,5,
  هروی ,7,15,2,117,1,5,
  دروس ,10900,5,3,182,1,1,
  فرمانیه ,5540,0,2,77,1,1,
  فرمانیه ,8200,5,2,120,1,3,
  فرمانیه ,11970,0,2,126,1,1,
  میرداماد ,13,0,3,165,1,3,
  میرداماد ,8900,12,3,160,1,5,
  میرداماد ,7900,0,2,95,1,5,
  میرداماد ,8700,18,3,150,1,5,
  خیابان دولت ,7500,4,2,100,1,1,
  هروی ,16700,2,3,191,1,4,
  قلهک ,"9,25",0,2,95,1,1,
  ظفر ,"4,60",2,2,60,1,5,
  صاحبقرانیه ,32500,5,3,250,2,1,شمالی
  محمودیه ,18480,12,3,210,0,,
  میرداماد ,8990,11,3,150,1,5,
  قیطریه ,5,35,2,90,1,2,
  فرمانیه ,26500,30,3,204,1,3,
  میرداماد ,5700,13,3,120,1,2,
  ظفر ,10,0,3,148,1,3,
  از برج زعفرانیه ,80,1,5,500,2,9,دارد
  از برج نخجوان ,50,1,4,350,4,9,دارد
  از برج کامرانیه شمالی ,70,1,4,500,2,4,دارد
  اختیاریه ,6200,18,2,112,1,4,
  دیباجی ,5,15,2,90,1,4,
  دیباجی ,6950,6,2,108,1,4,
  پاسداران ,12,17,3,180,1,2,
  صاحبقرانیه ,39,1,4,300,2,4,شمالی
  اختیاریه ,9600,16,3,163,1,5,
  ظفر ,4200,1,1,60,1,5,
  مهران ,11500,2,3,200,1,5,
  میرداماد ,6300,5,2,96,1,3,
  میرداماد ,4900,5,2,75,1,1,
  میرداماد ,26250,1,4,350,1,4,
  میرداماد ,12950,1,3,185,1,3,
  ظفر ,4680,15,2,90,1,1,
  الهیه ,80,3,5,500,2,12,دارد
  قیطریه ,8325,6,2,111,1,1,
  میرداماد ,11500,1,3,133,1,6,
  هروی ,7,18,3,146,1,5,
  میرداماد ,4900,4,2,70,1,1,
  هروی ,4,19,2,90,1,5,
  هروی ,6950,2,2,110,1,5,
  خانه گستر ,300,23,1,63,0,1,
  شهرک میرمهنا ,,4,1,63,1,2,شمالی
  دروس ,19670,20,3,281,1,2,
  جردن ,4620,24,1,77,1,7,
  ظفر ,9,1,3,125,1,3,
  جردن ,20400,30,3,204,1,1,
  اختیاریه ,11,8,3,145,1,1,
  هروی ,7800,0,3,130,1,6,
  جردن ,10925,2,2,115,1,2,
  ظفر ,4200,1,1,60,1,5,
  اختیاریه ,6820,0,2,110,1,5,
  قبا ,"12,25",12,3,185,1,1,
  دروس ,15800,10,3,158,1,3,
  ظفر ,7900,8,3,133,1,1,
  پاسداران ,6175,8,2,95,1,5,
  اختیاریه ,6400,25,2,120,1,2,
  پاسداران ,8125,5,2,125,1,4,
  دیباجی ,3200,9,2,62,1,3,
  قیطریه ,"9,72",0,2,110,1,5,
  میرداماد ,4240,13,1,80,1,1,
  دبستان ,2800,10,2,72,1,4,
  ظفر ,6300,0,2,110,1,7,
  ظفر ,2100,6,1,45,1,1,
  تیرانداز ,4950,4,2,118,1,2,جنوبی
  هروی ,2500,10,2,70,1,2,
  مهران ,5382,7,2,117,1,4,
  ظفر ,2850,17,2,70,1,4,
  تهرانپارس غربی ,4,9,0,112,1,3,جنوبی
  میرداماد ,14800,13,4,270,1,5,
  پاسداران ,8,9,2,115,1,1,
  ظفر ,7600,0,2,130,1,4,
  کاوه ,9520,0,3,140,1,5,جنوبی
  میرداماد ,5250,3,1,70,1,1,
  ولنجک ,19200,5,3,160,0,6,
  پاسداران ,5800,17,2,116,1,1,
  قیطریه ,6300,13,2,90,1,2,
  زعفرانیه ,28750,0,3,230,0,,
  ونک ,5500,0,2,100,1,4,
  آجودانیه ,10920,12,3,168,1,1,شمالی
  پاسداران ,4100,9,2,71,1,3,
  پاسداران ,4100,9,2,71,1,3,
  قیطریه ,4700,29,2,90,1,3,
  قیطریه ,12,0,2,138,1,2,
  قیطریه ,4500,30,2,78,1,4,
  شهرک میرمهنا ,2500,1,2,74,1,1,
  فرمانیه ,8840,0,2,104,1,3,
  فلکه اول تهرانپارس ,4200,7,2,120,1,2,جنوبی
  تهرانپارس غربی ,3150,10,2,92,1,4,جنوبی
  قیطریه ,4500,30,2,78,1,2,
  میرداماد ,6300,5,2,96,1,2,
  قلهک ,11440,8,4,220,1,4,
  قیطریه ,8950,35,4,157,1,4,
  فرمانیه ,8700,2,2,113,1,2,
  فرشته ,22,7,3,200,0,,
  قیطریه ,9280,6,2,110,1,5,
  زعفرانیه ,20,2,3,200,0,4,
  هروی ,2250,18,1,60,1,1,
  خیابان دولت ,"5,25",1,1,67,1,2,
  ولنجک ,29640,2,3,228,0,4,
  مهران ,11,0,3,190,1,5,
  زعفرانیه ,21,1,3,200,0,4,
